model,idx,alpha,beta,lambda,alpha_estimate,alpha_se,beta_estimate,beta_se
2,2,-51.5202790372719,1.03577780397677,0.0211126696297559,-50.4986275640535,0.037020971985104,-0.0851720257399076,0.104629221056766
2,2,-20.5160942391499,1.26775875698882,0.0714756056337758,-20.5742046313482,0.374373011817204,-0.319430970901142,0.0978929640989704
2,2,-73.4771351863554,1.0432511654486,0.0100984182972701,-50.5,1.04142484242389e-08,0.539237198267554,0.260001699668514
2,3,-1.51437628905515,0.1796006818732,0.0199923335727024,-1.29183039295721,2.13739159728512,-1.05971107689728,0.0883253164144135
2,3,17.0751961953084,0.274003209645632,0.0207851555727538,15.8347027232366,0.865018509262792,-0.673497155499731,0.099538136195166
2,3,2.28425381305591,0.307689644198156,0.0230648328472575,1.97451988550045,0.79298061893585,-0.625143191352584,0.0986208126273662
2,3,-6.60675404057837,0.118312430404206,0.0215111678157138,-6.61755220355418,2.79746527651383,-1.20782742926066,0.0659789712252567
2,3,19.4646321072564,0.147761278345449,0.0236474651125849,17.0939439484196,2.77419755024456,-1.22815362462801,0.0549181952043636
2,3,-0.743060808995592,0.30850214130187,0.0252771248748294,0.612404641896023,1.52159398444017,-0.897002921027549,0.0895847704284982
2,3,-6.42011860116795,0.0609340730375106,0.0205850484478585,-13.3470464267726,2.91446131674807,-1.26561619085213,0.0334383837620932
2,3,-14.7020880362717,0.159711922520687,0.0212527717278863,-15.4600215572185,2.29068033008672,-1.10957306249639,0.0863528573166215
2,3,6.40945885284798,0.286479043251104,0.0236847991934477,6.92891540020504,1.48288056342176,-0.895353670592353,0.0919968187616127
2,3,2.56347188535744,0.137921591935306,0.0218619829217649,-1.64609873120053,1.84267195838969,-0.978440137425161,0.0873590453493674
2,3,9.33064066457828,0.24035008415837,0.0224545165766499,8.52100905052467,1.43174333332292,-0.858833059572879,0.0886600424485645
2,3,-1.27366914643327,0.282349216702531,0.0215261057212686,-1.81229320222085,1.55994529254826,-0.898818185024158,0.0863497575418238
2,3,-10.9290910131929,0.242024106414237,0.0234077367971796,-11.9789090685332,1.74835524802382,-0.938919049387708,0.0886836257889775
2,3,7.6815975405512,0.249025694177795,0.0226524617173675,7.17186789725906,1.19917733707344,-0.795791254235535,0.0940322668161785
2,3,-7.65190277135929,0.318200550530877,0.0220003326303542,-5.55523729307507,1.2881211827332,-0.81515441120589,0.0887890159279201
2,3,1.37995024691937,0.0545151119700282,0.0202759223367484,8.07810656084421,2.71631034041517,-1.20886664740684,0.063656893015132
2,3,-12.9271279185474,0.156953479376201,0.027119506290884,-15.6450399386166,2.57875387898632,-1.1705040882448,0.0754666795384642
2,3,4.77906926865623,0.231726592126117,0.0221275572882286,4.64728924391481,0.871022517845516,-0.676735586741836,0.104286541617282
2,3,-12.2381783535108,0.273329210768482,0.0231847584078188,-15.5481372409571,1.4800956717695,-0.865228283899105,0.088289072546489
2,3,18.2973364222334,0.170722713690187,0.0247401706265839,19.095552128436,1.57027218072877,-0.867114314321906,0.0996859776239429
2,3,0.577411937595125,0.256394645470687,0.0222656228963481,0.992349181614434,1.45321609580407,-0.913289486442395,0.115811006892906
2,3,-0.922223230512381,0.25067353750153,0.0233766782079625,-0.32653357219689,1.04161168051056,-0.708864574634081,0.0892480128541496
2,3,-6.30665571558526,0.299483015219042,0.0263504051398318,-8.08410459768175,1.05828842781374,-0.695223546594693,0.0895906925185364
2,3,-5.92830136706386,0.102594954878268,0.0203185438760706,-5.78848233609669,2.05145913556385,-1.03002585658185,0.0924998312788131
2,3,0.728631240838391,0.0997523025399832,0.0246907229893631,-0.807549790697483,2.75690852696312,-1.23424272452197,0.0525822410354258
2,3,-0.377767992224602,0.0813414256972673,0.0193930688247583,-1.44020225407647,2.81750543219365,-1.25924082521849,0.0383220127310763
2,3,-2.34442788888596,0.277171120455592,0.0236519860078176,-1.65876502292789,1.94158434387312,-1.00922796016728,0.0919498718179076
2,3,2.06433182276033,0.067194224632908,0.022000828424229,4.3776830510305,2.82550898378118,-1.25853685975457,0.0381490955176459
2,3,5.4444258035908,0.242125780028215,0.0266484063875112,7.00731582237976,1.66074933817613,-0.924860951032246,0.0881868719523017
2,3,3.76496391872802,0.284317215856231,0.0233102417361415,2.13762498410965,1.77132388265134,-0.952697843333289,0.087140791373782
2,3,13.2702975502368,0.108062787498198,0.0235220585419711,11.475381721299,2.52326918635473,-1.15967457201908,0.0773630139037333
2,3,-0.801163465938027,0.334028459314423,0.017689565184494,-1.25756446617156,0.894048981737105,-0.651422871386557,0.0890036244288465
2,3,3.16764735266365,0.0760600623534784,0.0213203740586344,-0.0725464538252107,2.78637692391747,-1.23846892765264,0.0498683842445
2,3,-9.36660002887386,0.34618085116173,0.0222937368689303,-8.44577701071016,1.00570822816949,-0.717557488163416,0.0913053251012184
2,3,0.684221133984068,0.409695407723864,0.0210613006162029,1.54071427561536,0.482512389328051,-0.400418876951919,0.090127533326077
2,3,18.925563541137,0.380044591851424,0.0260941559933144,17.2087314023769,1.71648762191628,-0.939650259440925,0.0860170151564901
2,3,9.40408373944265,1.07954323077842,0.0221211091624366,9.5066070896608,0.138354002438102,-0.0880759409711568,0.103968121122634
2,3,2.79558998244403,0.144152057212349,0.0221870959854771,0.0757445723137466,2.03887425693067,-1.04676582262038,0.0900799995693669
2,3,11.9086267875365,0.334255592495322,0.0223037473650968,9.65106575753353,1.01505988870138,-0.701672009574882,0.0892085264309723
2,3,9.04399765166479,0.815032221788041,0.0207743091051941,9.24274553034951,0.538337185581589,-0.396837744609843,0.101272097812438
2,3,0.195643965801333,0.21287591176475,0.02490998908787,-0.445790071731617,1.73165353328083,-0.953169465419539,0.0925096097285989
2,3,-6.12397957431276,0.172426911806537,0.0175542715514331,-9.26603947168413,1.22691666826104,-0.795822922257241,0.0867044711484672
2,3,2.63609546351181,0.150009600280282,0.0236764274012562,4.39610357858151,1.94873442610933,-0.99329251656994,0.0880658224148096
2,3,8.80732078021236,0.166289890047926,0.0228928923200456,6.05142928865039,1.87999778590644,-0.960451564511869,0.088143932298158
2,3,12.5459043969269,0.0526086345726863,0.0224337967668364,8.63378171561756,2.81245029628302,-1.25227436039521,0.0433900347009236
2,3,-5.57821541585192,0.258263078860714,0.0239425316615539,-5.98071201632832,1.22459591143981,-0.828726570471586,0.101768417237711
2,3,-7.74405979958957,0.187506932388252,0.0278364782056763,-5.2030663083994,1.45380118518284,-0.863601717500604,0.0875962030248133
2,3,10.350211974282,0.111670041400359,0.0227505396304068,15.1387121075734,2.70076857513323,-1.22048429800166,0.0603933609868815
2,3,-1.78292167656915,0.393562696587937,0.0201413587807599,-1.60199817144192,1.28885519851562,-0.849732962410296,0.111505518042927
2,3,2.29650510537183,0.100838469456648,0.0225789186515041,4.6517602874696,2.81672708324173,-1.2443044767131,0.0467397580720894
2,4,-1.94718269421824,2.42776180029479,0.0413519127873974,-1.5714361921052,0.271001108709874,-0.113044671823563,0.127281728992957
2,4,38.1164118603597,0.832942025448686,0.0285231667443467,38.4129543018499,0.306698866443729,-0.218345008051949,0.0918428752756416
2,4,116.169928768559,0.288199096617164,0.00136347852753488,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,89.7934399227184,0.739400086295231,0.000582022280660277,50.5,2.58154988692603e-10,0.653688045608194,0.236265043881065
2,4,-38.4717418503646,0.292192755265869,0.00294288389004457,-38.1868943592506,0.837867118228176,-0.648413746540274,0.099039832400046
2,4,-17.1518704681019,0.453743105821573,0.151901419879429,-15.1605384747063,1.64203661305193,-0.892095824954741,0.0883945321622421
2,4,-40.7773924755183,0.558639407280409,0.00231368710676021,-40.3403574948766,0.470777087321179,-0.381327657024184,0.091357811838999
2,4,14.0121832274496,1.74109337752044,0.00511269835032049,14.5000920325693,0.013113197075919,0.0490237687139064,0.0856679995955948
2,4,-88.2373192145612,0.794018671739941,0.00891505590501682,-50.5,2.58153952204717e-10,0.653688045608194,0.236265043881065
2,4,-18.6946064710657,0.554330724675396,0.212341327765524,-16.0729199028403,1.96269607812166,-1.03667421269823,0.0954804800502791
2,4,-60.9836114698431,0.754407515614381,0.0125650898118859,-50.5,2.10658903703966e-09,0.608546661580183,0.249171280101425
2,4,-17.7876596832074,0.544480939770073,0.0405033645926182,-18.3381112567465,0.849918891364618,-0.611070438485948,0.0965779762718657
2,4,37.4182690318222,0.561091149244463,0.0702702775572159,36.4259853477187,0.786032835617729,-0.592320059322439,0.0931001552790708
2,4,-20.8300006007818,0.20929761272112,0.00566969802470295,-20.0381027369206,2.00352144449927,-1.04204000198531,0.0929078618698298
2,4,-39.4796332551459,0.426811727522829,0.00324085512227886,-39.6817643896597,0.424923628291433,-0.308903395623261,0.100586768151417
2,4,27.8494411384949,0.560181462180548,0.119161921727839,32.0119246875117,1.91355596241369,-1.01527492770586,0.093564278508811
2,4,-96.8341144411889,0.349859927647058,0.00929538487271376,-50.5,6.63076041443268e-08,0.587400060952957,0.25532493747856
2,4,102.891824929555,0.731208837116585,0.000637189285757644,50.5,1.68480410859629e-09,0.610344444266894,0.248632453051227
2,4,-19.5705029103419,2.0428059654239,2.25408849423806e-05,-19.5000103768978,0.0057810868489689,0.0802512789129487,0.0849499424964293
2,4,-64.0010968200997,0.981181242267826,0.161986633261501,-48.9318055196098,1.61057545508409,-1.24072493440635,0.049656826826776
2,4,-73.4197106152709,0.285552846759779,0.0206255569133561,-50.5,1.04142484242414e-08,0.539237198267555,0.260001699668514
2,4,21.3048307652292,2.11504143426511,0.108315473442299,21.3753249847722,0.350186012969696,-0.184126603059295,0.112962166508335
2,4,-46.5445046490439,1.21342798822346,0.000126200862890933,-46.5636056800246,0.335941318248909,-0.241052126941733,0.106622372282127
2,4,-3.64812367004463,0.407933217628999,0.2485847578656,1.53271078263276,2.75247482175426,-1.21776203267316,0.0592976756847793
